x, y
0, 3.4
1, 3.8
2, 4
3, 3.9
4, 3.5
5, 3.6
6, 3.6
7, 3.9
8, 3.8
9, 3.7
10, 3.8
11, 4
12, 4.3
13, 4.7
14, 5
15, 5.3
16, 6.1
17, 6.2
18, 6.7
19, 6.8
20, 6.6
21, 7.9
22, 6.4
23, 6.6
24, 6.5
25, 6.4
26, 6.3
27, 5.8
28, 5.5
29, 5.4
30, 5
31, 4.5
32, 4.4
33, 4.2
34, 4.2
35, 4.3
36, 3.7
37, 3.4
38, 3.4
39, 3.1
40, 3
41, 3.2
42, 3.1
43, 3.1
44, 3.3
45, 3.5
46, 3.5
47, 3.1
48, 3.2
49, 3.1
50, 2.9
51, 2.9
52, 3
53, 3
54, 3.2
55, 3.4
56, 3.1
57, 3
58, 2.8
59, 2.7
60, 2.9
61, 2.6
62, 2.6
63, 2.7
64, 2.5
65, 2.5
66, 2.6
67, 2.7
68, 2.9
69, 3.1
70, 3.5
71, 4.5
72, 4.9
73, 5.2
74, 5.7
75, 5.9
76, 5.9
77, 5.6
78, 5.8
79, 6
80, 6.1
81, 5.7
82, 5.3
83, 5
84, 4.9
85, 4.7
86, 4.6
87, 4.7
88, 4.3
89, 4.2
90, 4
91, 4.2
92, 4.1
93, 4.3
94, 4.2
95, 4.2
96, 4
97, 3.9
98, 4.2
99, 4
100, 4.3
101, 4.3
102, 4.4
103, 4.1
104, 3.9
105, 3.9
106, 4.3
107, 4.2
108, 4.2
109, 3.9
110, 3.7
111, 3.9
112, 4.1
113, 4.3
114, 4.2
115, 4.1
116, 4.4
117, 4.5
118, 5.1
119, 5.2
120, 5.8
121, 6.4
122, 6.7
123, 7.4
124, 7.4
125, 7.3
126, 7.5
127, 7.4
128, 7.1
129, 6.7
130, 6.2
131, 6.2
132, 6
133, 5.9
134, 5.6
135, 5.2
136, 5.1
137, 5
138, 5.1
139, 5.2
140, 5.5
141, 5.7
142, 5.8
143, 5.3
144, 5.2
145, 4.8
146, 5.4
147, 5.2
148, 5.1
149, 5.4
150, 5.5
151, 5.6
152, 5.5
153, 6.1
154, 6.1
155, 6.6
156, 6.6
157, 6.9
158, 6.9
159, 7
160, 7.1
161, 6.9
162, 7
163, 6.6
164, 6.7
165, 6.5
166, 6.1
167, 6
168, 5.8
169, 5.5
170, 5.6
171, 5.6
172, 5.5
173, 5.5
174, 5.4
175, 5.7
176, 5.6
177, 5.4
178, 5.7
179, 5.5
180, 5.7
181, 5.9
182, 5.7
183, 5.7
184, 5.9
185, 5.6
186, 5.6
187, 5.4
188, 5.5
189, 5.5
190, 5.7
191, 5.5
192, 5.6
193, 5.4
194, 5.4
195, 5.3
196, 5.1
197, 5.2
198, 4.9
199, 5
200, 5.1
201, 5.1
202, 4.8
203, 5
204, 4.9
205, 5.1
206, 4.7
207, 4.8
208, 4.6
209, 4.6
210, 4.4
211, 4.4
212, 4.3
213, 4.2
214, 4.1
215, 4
216, 4
217, 3.8
218, 3.8
219, 3.8
220, 3.9
221, 3.8
222, 3.8
223, 3.8
224, 3.7
225, 3.7
226, 3.6
227, 3.8
228, 3.9
229, 3.8
230, 3.8
231, 3.8
232, 3.8
233, 3.9
234, 3.8
235, 3.8
236, 3.8
237, 4
238, 3.9
239, 3.8
240, 3.7
241, 3.8
242, 3.7
243, 3.5
244, 3.5
245, 3.7
246, 3.7
247, 3.5
248, 3.4
249, 3.4
250, 3.4
251, 3.4
252, 3.4
253, 3.4
254, 3.4
255, 3.4
256, 3.4
257, 3.5
258, 3.5
259, 3.5
260, 3.7
261, 3.7
262, 3.5
263, 3.5
264, 3.9
265, 4.2
266, 4.4
267, 4.6
268, 4.8
269, 4.9
270, 5
271, 5.1
272, 5.4
273, 5.5
274, 5.9
275, 6.1
276, 5.9
277, 5.9
278, 6
279, 5.9
280, 5.9
281, 5.9
282, 6
283, 6.1
284, 6
285, 5.8
286, 6
287, 6
288, 5.8
289, 5.7
290, 5.8
291, 5.7
292, 5.7
293, 5.7
294, 5.6
295, 5.6
296, 5.5
297, 5.6
298, 5.3
299, 5.2
300, 4.9
301, 5
302, 4.9
303, 5
304, 4.9
305, 4.9
306, 4.8
307, 4.8
308, 4.8
309, 4.6
310, 4.8
311, 4.9
312, 5.1
313, 5.2
